source_url,department,page_title,type_contacts,categories,contact_count
https://lannuaire.service-public.gouv.fr/nouvelle-aquitaine/correze/5b314520-c94b-4360-af71-b21232d836b0,correze,Mairie - Allassac,collectivite_administration,mairie collectivite,1
https://lannuaire.service-public.gouv.fr/nouvelle-aquitaine/correze/5b4bf84c-ca47-4b0d-abc6-21fde7d94c0a,correze,Mairie - Saint-Fréjoux,collectivite_administration,mairie collectivite,1
https://lannuaire.service-public.gouv.fr/nouvelle-aquitaine/correze/5b606c65-e856-4d32-af03-c0c17394e5f2,correze,Mairie - Saint-Cyprien,collectivite_administration,mairie collectivite,1
https://lannuaire.service-public.gouv.fr/nouvelle-aquitaine/correze/5c06963c-bdea-466b-83cf-4ad013936610,correze,Société d'aménagement foncier et d'établissement rural (Safer) - Corrèze,collectivite_administration,administration collectivite service public,1
https://lannuaire.service-public.gouv.fr/nouvelle-aquitaine/correze/5c5b5608-6caf-40da-a39f-6099a75dffb4,correze,Mairie - Saint-Hilaire-les-Courbes,collectivite_administration,mairie collectivite,1
https://lannuaire.service-public.gouv.fr/nouvelle-aquitaine/correze/5c5c2bde-3ce3-4800-b146-29ebc43088c8,correze,Conseil de prud'hommes de Tulle,collectivite_administration,administration collectivite service public,1
https://lannuaire.service-public.gouv.fr/nouvelle-aquitaine/correze/5c747e2d-aef3-4b21-86a2-716aa3c98a0f,correze,Mairie - Tarnac,collectivite_administration,mairie collectivite,1
https://lannuaire.service-public.gouv.fr/nouvelle-aquitaine/correze/5c77ccc3-c660-4ce0-a014-ca4f736cc32b,correze,Ordre des avocats - Barreau de Brive-la-Gaillarde,collectivite_administration,administration collectivite service public,1
https://lannuaire.service-public.gouv.fr/nouvelle-aquitaine/correze/5fd923ef-a08e-4c38-a027-544e273ae4c0,correze,Mairie - Saint-Bonnet-Elvert,collectivite_administration,mairie collectivite,1
https://lannuaire.service-public.gouv.fr/nouvelle-aquitaine/correze/601722c2-33c7-40dc-8e45-7eaa811d6b1d,correze,Mairie - Montgibaud,collectivite_administration,mairie collectivite,1
https://lannuaire.service-public.gouv.fr/nouvelle-aquitaine/correze/604f5809-2f80-4f8c-8575-159919b89e6c,correze,Mairie - Neuville,collectivite_administration,mairie collectivite,1
https://lannuaire.service-public.gouv.fr/nouvelle-aquitaine/correze/6083217d-391b-4f4b-af50-bb5d39fdedbb,correze,Mairie - Saint-Pantaléon-de-Larche,collectivite_administration,mairie collectivite,1
https://lannuaire.service-public.gouv.fr/nouvelle-aquitaine/correze/609c830f-fdd5-45e0-aa53-f4512168901c,correze,Mairie - Les Angles-sur-Corrèze,collectivite_administration,mairie collectivite,1
https://lannuaire.service-public.gouv.fr/nouvelle-aquitaine/correze/60af7a11-192f-410d-9f6d-e879a2c2b742,correze,Mairie - Saint-Exupéry-les-Roches,collectivite_administration,mairie collectivite,1
https://lannuaire.service-public.gouv.fr/nouvelle-aquitaine/correze/61fa9786-cf73-49ba-b475-1cf7386ee745,correze,Mairie - Juillac,collectivite_administration,mairie collectivite,1
https://lannuaire.service-public.gouv.fr/nouvelle-aquitaine/correze/61fab857-2b51-4044-a043-855eba554e56,correze,Mairie - Bar,collectivite_administration,mairie collectivite,1
https://lannuaire.service-public.gouv.fr/nouvelle-aquitaine/correze/621a1d2c-3bc5-4af5-afbd-402d2e6273ae,correze,Tribunal judiciaire de Tulle,collectivite_administration,administration collectivite service public,1
https://lannuaire.service-public.gouv.fr/nouvelle-aquitaine/correze/62db93f4-0475-428b-86f2-b346c44e3b51,correze,Mairie - Goulles,collectivite_administration,mairie collectivite,1
https://lannuaire.service-public.gouv.fr/nouvelle-aquitaine/correze/6372edc6-c698-4d1a-acff-1a700d38e0f4,correze,Centre communal d'action sociale (CCAS) - Laguenne-sur-Avalouze,collectivite_administration,mairie collectivite,1
https://lannuaire.service-public.gouv.fr/nouvelle-aquitaine/correze/640255fc-4971-4d0a-a6f3-d64edd493c10,correze,Mairie - Saint-Sulpice-les-Bois,collectivite_administration,mairie collectivite,1
https://lannuaire.service-public.gouv.fr/nouvelle-aquitaine/correze/6415bf41-aeed-41b0-949c-7bb9e0829b78,correze,Mairie - Jugeals-Nazareth,collectivite_administration,mairie collectivite,1
